id,ts,temperatura,humedadRelativa,lluvia,viento,radiacion
meteorologia-predio-01,2026-09-23T22:56:13.963Z,26.1,86,0,0.9,18
meteorologia-predio-01,2026-09-23T22:46:13.085Z,26.1,86,0,0.9,18
meteorologia-predio-01,2026-09-23T22:36:12.332Z,26.4,83,0,0.9,54
meteorologia-predio-01,2026-09-23T22:26:11.41Z,26.9,80,0,2.3,96
meteorologia-predio-01,2026-09-23T22:16:10.637Z,26.9,80,0,2.3,96
meteorologia-predio-01,2026-09-23T22:06:09.906Z,27.2,78,0,3.2,145
meteorologia-predio-01,2026-09-23T21:56:09.2Z,27.5,77,0,3.4,200
meteorologia-predio-01,2026-09-23T21:46:08.433Z,27.5,77,0,3.4,200
meteorologia-predio-01,2026-09-23T21:36:07.701Z,27.8,75,0,3.5,255
meteorologia-predio-01,2026-09-23T21:26:06.932Z,28.1,73,0,3.9,307
meteorologia-predio-01,2026-09-23T21:16:06.183Z,28.1,73,0,3.9,307
meteorologia-predio-01,2026-09-23T21:06:05.426Z,28.3,72,0.1,4.4,358
meteorologia-predio-01,2026-09-23T20:56:04.524Z,28.5,71,0.1,5,406
meteorologia-predio-01,2026-09-23T20:46:03.773Z,28.5,71,0.1,5,406
meteorologia-predio-01,2026-09-23T20:36:02.969Z,28.6,70,0.1,5.6,452
meteorologia-predio-01,2026-09-23T20:26:02.226Z,28.8,70,0.1,6.2,489
meteorologia-predio-01,2026-09-23T20:16:01.426Z,28.8,70,0.1,6.2,489
meteorologia-predio-01,2026-09-23T20:06:00.659Z,28.9,69,0,6.4,521
meteorologia-predio-01,2026-09-23T19:55:59.967Z,29,69,0,6.4,553
meteorologia-predio-01,2026-09-23T19:45:59.118Z,29,69,0,6.4,553
meteorologia-predio-01,2026-09-23T19:35:58.163Z,29.2,68,0,6.1,594
meteorologia-predio-01,2026-09-23T19:25:57.371Z,29.3,68,0,5.7,644
meteorologia-predio-01,2026-09-23T19:15:56.574Z,29.3,68,0,5.7,644
meteorologia-predio-01,2026-09-23T19:05:55.692Z,29.3,68,0,5.5,698
meteorologia-predio-01,2026-09-23T18:55:54.726Z,29.9,66,0,6.1,721
meteorologia-predio-01,2026-09-23T18:45:53.862Z,29.9,65,0,6.4,721
meteorologia-predio-01,2026-09-23T18:35:52.965Z,29.8,65,0,6.7,761
meteorologia-predio-01,2026-09-23T18:25:52.265Z,29.8,65,0,6.8,808
meteorologia-predio-01,2026-09-23T18:15:51.32Z,29.8,65,0,6.8,808
meteorologia-predio-01,2026-09-23T18:05:50.542Z,29.7,65,0,6.9,856
meteorologia-predio-01,2026-09-23T17:55:49.65Z,29.6,66,0,7,896
meteorologia-predio-01,2026-09-23T17:45:48.82Z,29.6,66,0,7,896
meteorologia-predio-01,2026-09-23T17:35:47.965Z,29.4,66,0,7.1,921
meteorologia-predio-01,2026-09-23T17:25:47.208Z,29.2,67,0,7.2,931
meteorologia-predio-01,2026-09-23T17:15:46.447Z,29.2,67,0,7.2,931
meteorologia-predio-01,2026-09-23T17:05:45.706Z,29,68,0,7.2,931
meteorologia-predio-01,2026-09-23T16:55:44.979Z,28.8,69,0,7.2,926
meteorologia-predio-01,2026-09-23T16:45:44.235Z,28.8,69,0,7.2,926
meteorologia-predio-01,2026-09-23T16:35:43.488Z,28.5,70,0,7.2,923
meteorologia-predio-01,2026-09-23T16:25:42.72Z,28.2,72,0,7.1,918
meteorologia-predio-01,2026-09-23T16:25:20.545Z,28.2,72,0,7.1,918
meteorologia-predio-01,2026-09-23T16:20:54.064Z,28.2,72,0,7.1,918
meteorologia-predio-01,2026-09-24T18:37:52.439Z,27.4,76,0.3,5.4,757
meteorologia-predio-01,2026-09-24T18:57:54.046Z,26.9,79,0.3,5.2,731
meteorologia-predio-01,2026-09-24T19:47:58.124Z,28.7,67,0,5.7,426
meteorologia-predio-01,2026-09-24T17:37:47.562Z,27.9,72,0.5,7,794
meteorologia-predio-01,2026-09-24T19:27:56.663Z,26.9,74,0,4.5,508
meteorologia-predio-01,2026-09-24T20:28:01.456Z,28.4,67,0,4.8,358
meteorologia-predio-01,2026-09-24T14:47:34.161Z,26.7,73,0.1,6.7,752
meteorologia-predio-01,2026-09-24T17:57:49.12Z,28.2,72,0.5,6.5,797
meteorologia-predio-01,2026-09-25T02:08:28.591Z,23.9,88,0,2.6,0
meteorologia-predio-01,2026-09-24T14:57:34.906Z,26.7,73,0.1,6.7,752
meteorologia-predio-01,2026-09-24T18:07:50.212Z,28.3,72,0.5,6.1,791
meteorologia-predio-01,2026-09-24T22:48:12.789Z,26.9,77,0,1.4,18
meteorologia-predio-01,2026-09-24T16:27:42.044Z,27.5,71,0.2,7.9,762
meteorologia-predio-01,2026-09-24T16:37:42.796Z,27.4,72,0.2,7.9,737
meteorologia-predio-01,2026-09-24T16:47:43.485Z,27.4,72,0.2,7.9,734
meteorologia-predio-01,2026-09-24T21:28:06.149Z,28.1,70,0,3.4,281
meteorologia-predio-01,2026-09-24T21:38:07.158Z,28,72,0,3,252
meteorologia-predio-01,2026-09-25T00:38:21.605Z,25.3,83,0,0.6,0
meteorologia-predio-01,2026-09-24T15:07:35.796Z,27,72,0.1,7.2,787
meteorologia-predio-01,2026-09-24T19:07:54.99Z,26.6,80,0.3,4.9,701
meteorologia-predio-01,2026-09-25T01:18:24.771Z,24.8,84,0,1.1,0
meteorologia-predio-01,2026-09-25T02:38:31.085Z,23.8,86,0,2.7,0
meteorologia-predio-01,2026-09-24T13:47:29.545Z,25.2,79,0,4.7,479
meteorologia-predio-01,2026-09-24T15:17:36.551Z,27.2,71,0.2,7.6,807
meteorologia-predio-01,2026-09-24T18:27:51.666Z,28,74,0.3,5.8,777
meteorologia-predio-01,2026-09-24T20:58:03.702Z,28.4,68,0,3.9,309
meteorologia-predio-01,2026-09-25T00:28:20.674Z,25.4,82,0,0.7,0
meteorologia-predio-01,2026-09-24T16:07:40.472Z,27.5,71,0.2,7.9,792
meteorologia-predio-01,2026-09-24T19:17:55.854Z,26.9,79,0.3,4.5,665
meteorologia-predio-01,2026-09-24T20:38:02.239Z,28.4,68,0,4.2,331
meteorologia-predio-01,2026-09-24T23:28:15.997Z,26.5,78,0,0.9,0
meteorologia-predio-01,2026-09-25T00:18:19.919Z,25.4,82,0,0.5,0
meteorologia-predio-01,2026-09-25T01:48:27.14Z,24.1,87,0,2.3,0
meteorologia-predio-01,2026-09-25T02:58:32.847Z,23.9,85,0,2.5,0
meteorologia-predio-01,2026-09-24T14:37:33.281Z,26.3,75,0.1,6.1,701
